oracion,etiqueta
cobré cuatro mil cuatrocientos,ingreso
alquiler este mes he pagado novecientos cincuenta euros de,gasto
el mes pasado se fueron dos mil trescientos ochenta y nueve con ochenta y cuatro euros de una suscripción,gasto
pagar la lavadora desembolsé ciento cuatro con noventa y cuatro euros para,gasto
móvil viejo recientemente obtuve trescientos cuarenta y cinco euros por vender el,ingreso
freelance esta semana cobré nueve euros por el proyecto,ingreso
ingresé ciento cuarenta euros de la venta de libros usados,ingreso
euros el coche me costó tres mil setenta con doce,gasto
pagué tres mil seiscientos,gasto
percibí dos mil quinientos cincuenta y nueve euros por una asesoría hoy,ingreso
me han transferido tres mil cincuenta y dos euros de la devolución del irpf el otro día,ingreso
me han abonado dos,ingreso
me ingresaron mil sesenta y ocho con setenta y dos euros de una apuesta,ingreso
pagué treinta y cuatro euros este mes en una impresora,gasto
cobré dos mil ciento,ingreso
en una reparación he desembolsado mil novecientos veintiséis euros,gasto
semana en impuestos he gastado doce euros esta,gasto
he percibido dos mil,ingreso
he pagado tres mil ochenta y tres euros en gasolina,gasto
me pagaron dos mil seiscientos sesenta euros por un trabajo freelance,ingreso
me han pagado ciento,ingreso
reparar el tejado solté más o menos veintiuno euros en,gasto
cobré cuatrocientos euros por dar clases particulares este mes,ingreso
por un proyecto he percibido trescientos veintitrés euros,ingreso
me ingresaron ciento ochenta,ingreso
ingresé dos mil novecientos,ingreso
he percibido cuatro mil seiscientos cincuenta y tres con tres euros por un proyecto,ingreso
por un bonus me pagaron dos mil trescientos cincuenta y ocho con setenta y ocho euros,ingreso
me han cargado cuatro mil seiscientos treinta y uno euros en un portátil recientemente,gasto
de comisión bancaria me han cargado treinta y cinco euros,gasto
euros por gasolina pagué cuatrocientos dieciséis,gasto
pagamos ciento cuarenta y uno con noventa y tres euros por impuestos este año,gasto
me costó seiscientos noventa,gasto
cobré doscientos catorce con treinta y cinco euros por una herencia,ingreso
libros del máster me costaron ciento veinte euros los,gasto
me cobraron mil cuatrocientos siete con noventa y cuatro euros este mes en un regalo,gasto
invertí setecientos sesenta y,gasto
por una herencia cobré mil treinta y cuatro con sesenta y nueve euros,ingreso
en el fisioterapeuta desembolsé seiscientos ochenta y cinco euros esta semana,gasto
cine esta tarde me costó veintiséis euros por,gasto
recibí treinta y dos con sesenta euros de una devolución,ingreso
recibí tres mil seiscientos trece con noventa euros de un trabajo freelance,ingreso
euros por nómina cobré seiscientos ochenta y cinco con sesenta y siete,ingreso
de una herencia me ingresaron mil quinientos veintiocho euros,ingreso
he percibido mil ciento,ingreso
desembolsé tres mil ciento noventa y seis euros por un ordenador nuevo este año,gasto
me pagaron mil ciento nueve con noventa y cuatro euros por una venta,ingreso
por desempleo recientemente he ingresado ciento seis con siete euros de la prestación,ingreso
he desembolsado cuatro mil,gasto
he percibido veintinueve euros de nómina hoy,ingreso
me cobró cincuenta y,gasto
me costó cuatrocientos euros,gasto
abono sesenta y cinco,gasto
recibí tres mil quinientos,ingreso
se me ingresaron treinta,ingreso
semana en impuestos se me fueron setecientos cuarenta y nueve euros esta,gasto
recibí cuatrocientos cuarenta y,ingreso
me pagaron quinientos veinte,ingreso
me han pagado al final ochocientos ochenta y ocho con cuarenta y dos euros por el proyecto freelance por fin,ingreso
ingresé cuarenta y dos euros de la venta del sofá esta semana,ingreso
he ingresado doscientos tres euros de la ayuda al alquiler esta semana,ingreso
aboné tres mil ochocientos uno con sesenta euros de una cena,gasto
me tocó pagar más,gasto
por un proyecto he percibido cuatro mil novecientos sesenta y nueve con ochenta y dos euros,ingreso
entraron ciento ochenta y ocho euros por vender una bici ayer,ingreso
me han cobrado siete euros de comisión en el cajero,gasto
nuevo esta tarde tuve que pagar sesenta y tres euros en un móvil,gasto
me cobraron tres mil novecientos treinta y cinco euros en el dentista,gasto
he percibido cuatro mil,ingreso
de una suscripción aboné dos mil cuatrocientos sesenta y seis con noventa y siete euros,gasto
salario esta semana he cobrado doscientos setenta y cinco con veintitrés euros de,ingreso
revisión del coche se me fueron cuatrocientos euros en la,gasto
un taxi ayer me han cargado dos mil veintidós euros de,gasto
gasté cuatrocientos diecisiete con sesenta y uno euros por parking anoche,gasto
se fueron dos mil trescientos noventa y cinco euros en la factura de la luz este trimestre,gasto
me abonaron dos mil,ingreso
cobré cuatro mil ochocientos ochenta y uno con treinta euros por una transferencia,ingreso
revisión del coche he desembolsado cuatrocientos cincuenta y seis euros este mes en la,gasto
me costó tres mil quinientos ochenta y ocho con veinticuatro euros electricidad,gasto
me gasté cuatro mil setecientos euros en electricidad,gasto
me pagaron dos mil,ingreso
en una suscripción he pagado cuatrocientos treinta euros,gasto
cobré treinta euros por cuidar al perro de mis vecinos,ingreso
cobré cuatro mil doscientos diecinueve con noventa y cuatro euros por una herencia,ingreso
me gasté quinientos noventa y dos con diecinueve euros en el gimnasio,gasto
se fueron setecientos treinta,gasto
me gasté quinientos noventa,gasto
me gasté tres mil,gasto
de una herencia recibí tres mil ciento doce con cincuenta euros,ingreso
gasté dieciocho euros en gasolina esta mañana,gasto
ingresé ciento uno euros por tutorías online hoy,ingreso
me costó trescientos cincuenta,gasto
me cayó mil doscientos,ingreso
el mes pasado he ingresado mil doscientos cinco euros de pensión de viudedad,ingreso
me han mandado ciento,ingreso
aboné tres mil ciento sesenta y ocho con cuarenta euros de el dentista,gasto
cobré cuatro mil setecientos cincuenta y ocho con cuarenta y cuatro euros por nómina,ingreso
me gasté tres mil seiscientos cincuenta euros en el supermercado,gasto
gasté noventa euros en la farmacia para mi madre,gasto
me han cargado alrededor,gasto
me costó dos mil,gasto
me cobraron ciento noventa,gasto
aboné cuatro mil doscientos seis con noventa y nueve euros de ropa,gasto
me han cargado ocho euros de comisión por transferencia,gasto
se fueron setenta euros,gasto
me pagaron cuatro mil,ingreso
se me fueron tres mil ochocientos sesenta con dieciséis euros en electricidad,gasto
pagué mil novecientos cuarenta y nueve con treinta y uno euros por el dentista,gasto
he desembolsado mil cuatrocientos,gasto
he desembolsado doscientos sesenta y seis con cincuenta y uno euros ayer en la peluquería,gasto
en la compra he desembolsado seiscientos uno euros,gasto
semana en cine he desembolsado seiscientos veinticuatro euros esta,gasto
recibí doscientos cuarenta y,ingreso
un trabajo freelance he percibido cuatro mil doscientos setenta y siete con cuarenta y cinco euros por,ingreso
solté mil diecinueve con,gasto
me pagaron tres mil setenta y cuatro euros por un proyecto,ingreso
me han abonado setenta y cinco con diez euros de una venta,ingreso
me cobraron cuatro mil,gasto
en el extranjero me han cobrado quince euros por retirar efectivo,gasto
recibí cuatro mil cincuenta,ingreso
me cobraron cincuenta y,gasto
una paga atrasada me pagaron mil quince con ochenta y uno euros de,ingreso
en la compra me gasté cuatro mil doscientos setenta y cinco euros,gasto
aboné tres mil setecientos cuarenta y ocho euros de el coche,gasto
de una apuesta me ingresaron mil ochocientos noventa y uno con cincuenta y dos euros,ingreso
recibí cuatrocientos catorce euros de una apuesta,ingreso
he desembolsado cuatro mil seiscientos treinta y dos con cincuenta y seis euros en el coche,gasto
pagué cuarenta euros por la entrada al concierto,gasto
le transferí sesenta euros,gasto
arreglar el móvil me salió por quinientos euros,gasto
se fueron treinta y dos euros con netflix la semana pasada,gasto
me dejé cuatrocientos cincuenta,gasto
por un bonus he percibido setecientos cincuenta y siete con quince euros,ingreso
me entraron quinientos veintiséis euros por vender entradas hoy,ingreso
multa de tráfico pagué trescientos euros de,gasto
me pagaron dos mil,ingreso
tutorías online hoy he cobrado trece euros por,ingreso
euros en electricidad he pagado tres mil cinco con cuarenta y ocho,gasto
obtuve aproximadamente mil novecientos,ingreso
he pagado tres mil,gasto
recibí tres mil doscientos,ingreso
me entraron cuatrocientos treinta,ingreso
de una beca me han abonado dos mil setecientos setenta y seis euros,ingreso
me ingresaron mil quinientos,ingreso
me pagaron cuatro mil,ingreso
me costó dos mil seiscientos veinticinco con ochenta y tres euros el supermercado,gasto
aboné cuatro mil cuatrocientos,gasto
he desembolsado novecientos sesenta y ocho euros por una suscripción en marzo,gasto
tuve que pagar quinientos setenta y cinco euros en la revisión del coche hace unos días,gasto
me han cargado setecientos,gasto
he pagado en total,gasto
he desembolsado novecientos sesenta,gasto
obtuve trescientos cincuenta y,ingreso
me abonaron dos mil cuatrocientos sesenta y seis euros por horas extra,ingreso
me han cargado doscientos,gasto
obtuve dos mil cuatrocientos,ingreso
euros por nómina cobré dos mil ochocientos sesenta y ocho,ingreso
recibí dos mil ochenta y tres con sesenta y cuatro euros por un reportaje fotográfico hoy,ingreso
en el gimnasio he desembolsado trescientos cincuenta y ocho con cuarenta y tres euros,gasto
me entraron al final,ingreso
me costó tres mil quinientos seis con setenta y tres euros una cena,gasto
me ingresaron mil cincuenta y cinco con veintiséis euros de una venta,ingreso
euros en ropa me gasté cuatro mil setecientos setenta y siete con cuarenta y cinco,gasto
me entraron tres mil,ingreso
me cobraron quinientos noventa,gasto
me han abonado dos mil setecientos veintitrés euros de un bonus,ingreso
pagué cuarenta y ocho,gasto
me han abonado tres mil ciento cuarenta y siete euros de una beca,ingreso
me pagaron dos mil novecientos cuatro euros de pensión este mes,ingreso
se fueron ochenta euros,gasto
recibí ciento cincuenta euros,ingreso
invertí ochenta y nueve,gasto
recibo del agua me han pasado dieciocho euros del,gasto
he pagado seiscientos cincuenta y cinco con veinticuatro euros ayer en comida para el perro,gasto
me ingresaron dos mil uno con dieciocho euros de nómina,ingreso
un trabajo freelance cobré dos mil trescientos noventa euros por,ingreso
pagué setecientos sesenta y cinco euros por ropa,gasto
he ingresado cincuenta y,ingreso
por un bonus cobré mil cuatrocientos veintidós con cuarenta y seis euros,ingreso
el mes pasado me ingresaron ochocientos ochenta y uno euros de una transferencia familiar,ingreso
en el dentista me dejé ochenta y cuatro euros esta semana,gasto
pagué cuatro mil setecientos,gasto
se me fueron tres mil cincuenta y cuatro con trece euros en el dentista,gasto
me gasté mil novecientos,gasto
me costó tres mil,gasto
me costó tres mil cuatrocientos veintiuno con cuarenta y seis euros la compra,gasto
me costó ciento cuarenta euros en reparar el tejado esta tarde,gasto
estudio clínico hoy me ingresaron trescientos veintiuno euros por participar en un,ingreso
me salió por doscientos,gasto
se me fueron treinta,gasto
cobré nueve euros por el proyecto freelance esta semana,ingreso
factura del gas me tocó pagar cuatrocientos veintiséis euros ayer en la,gasto
me costó cuatro mil setecientos sesenta y nueve con treinta euros gasolina,gasto
boda este mes me pagaron dos mil setecientos dos euros por hacer fotos en una,ingreso
cerrajero en marzo invertí ochenta y nueve euros con el,gasto
en una suscripción he desembolsado cuatrocientos cincuenta y cinco con ochenta y nueve euros,gasto
en el coche he desembolsado cuatro mil seiscientos treinta y dos con cincuenta y seis euros,gasto
me costó cuatro mil,gasto
me ingresaron trescientos veintiuno euros por participar en un estudio clínico hoy,ingreso
ingresé seiscientos veinticinco con cincuenta y tres euros por una herencia,ingreso
recibí mil cuatrocientos euros,ingreso
se me fueron doscientos treinta y tres con setenta y seis euros en electricidad,gasto
pagué cuatro mil doscientos,gasto
por un proyecto cobré dos mil cuatrocientos seis euros,ingreso
he pagado dos mil trescientos treinta y seis euros en la comunidad,gasto
he pagado tres mil ciento cuarenta y dos con cuarenta y tres euros en el gimnasio,gasto
me cobraron tres mil quinientos noventa con noventa y cuatro euros en una cena,gasto
desembolsé dos mil uno,gasto
cena de aniversario me salió por ciento ochenta euros la,gasto
he percibido mil setecientos,ingreso
me salió por treinta,gasto
aboné tres mil cuatrocientos treinta y tres euros de gasolina,gasto
pendiente por fin me cayó alrededor de cuatro mil cinco euros por una deuda,ingreso
me abonaron treinta y tres euros por hacer de canguro este mes,ingreso
acabé pagando más o,gasto
euros de nómina recibí cuatro mil doscientos once con treinta y dos,ingreso
en wallapop recientemente he recibido dos mil trescientos sesenta y siete con ochenta y cuatro euros de una venta,ingreso
me han transferido noventa y seis euros por el proyecto freelance este mes,ingreso
de una bonificación cobré alrededor de mil ciento treinta y nueve con cincuenta y cuatro euros,ingreso
me costó doscientos noventa y cinco con cuarenta y seis euros el gimnasio,gasto
gasté cuarenta y cinco,gasto
he pagado seiscientos sesenta y cuatro euros por el ibi hoy,gasto
devolución de hacienda obtuve cuatrocientos sesenta y cinco euros de una,ingreso
me ingresaron cuatro mil doscientos setenta con noventa y nueve euros de una herencia,ingreso
por el dentista pagué cuatro mil ochocientos ochenta y seis euros,gasto
me han cargado novecientos noventa y siete euros en la lavadora esta tarde,gasto
he percibido dos mil quinientos cincuenta y cuatro euros de un premio de concurso ayer,ingreso
me tocó pagar cuatro mil ciento sesenta y cuatro euros en un vuelo esta tarde,gasto
invertí trescientos setenta y cinco con treinta y siete euros de la cuota del club esta mañana,gasto
cobré cuatro mil seiscientos,ingreso
aboné cuatro mil doscientos,gasto
he cobrado cinco mil,ingreso
un móvil nuevo he tenido que abonar cuatro mil noventa y siete euros este mes en,gasto
aboné cuatro mil cuarenta con diez euros de ropa,gasto
clases de inglés me cobraron setecientos treinta y nueve euros esta semana en,gasto
un cliente nuevo me han abonado cincuenta y cinco euros por referir,ingreso
ingresé mil ochocientos quince con treinta y cinco euros por un bonus,ingreso
ingresé seiscientos setenta y ocho euros por una devolución,ingreso
me cobraron mil seiscientos sesenta y ocho con cuarenta y tres euros en el gimnasio,gasto
me ingresaron mil ochocientos treinta y dos euros de la ayuda al alquiler recientemente,ingreso
cobré cuatro mil cuatrocientos,ingreso
cobré noventa euros por dar una clase particular,ingreso
mudanza en abril me dejé setenta y siete euros con una,gasto
solté diecisiete euros ayer en parking,gasto
he tenido que abonar doscientos cuarenta con dieciséis euros de una escapada de fin de semana este año,gasto
me han cargado veintinueve euros de disney plus,gasto
ingresé cuarenta y dos,ingreso
aboné cuatro mil seiscientos once euros de una suscripción,gasto
recibí dos mil ochocientos cincuenta y tres euros de una encuesta remunerada el mes pasado,ingreso
me pagaron dos mil novecientos cincuenta y uno euros por un trabajo freelance,ingreso
aboné setenta y cinco euros de la niñera en enero,gasto
me han cargado setecientos sesenta y cinco euros esta semana en la comida fuera,gasto
he percibido tres mil novecientos uno euros por una apuesta,ingreso
de la compra aboné tres mil ochocientos ochenta y siete con once euros,gasto
me costaron ciento veinte euros los libros del máster,gasto
aboné treinta euros con,gasto
seguro este mes me abonó novecientos veintidós euros de la devolución del,ingreso
pagué cuatro mil trescientos cuarenta y nueve euros por la compra,gasto
de una devolución me ingresaron cuatro mil seiscientos doce con ocho euros,ingreso
me ingresaron dos mil cuarenta y ocho con diez euros de una encuesta remunerada recientemente,ingreso
reparar el tejado me han cargado unos cincuenta y seis euros por,gasto
he pagado mil cuatrocientos,gasto
de una venta me han abonado setenta y cinco con diez euros,ingreso
por una apuesta he percibido tres mil novecientos uno euros,ingreso
he pagado dos mil quinientos catorce con sesenta y nueve euros en una suscripción,gasto
de la tarjeta me han abonado noventa euros de cashback,ingreso
he recibido en total ochenta y nueve euros de la venta de libros usados,ingreso
he pagado mil quinientos cuarenta y nueve con tres euros en un vuelo,gasto
se me ingresaron unos novecientos sesenta y seis euros del alquiler del piso por fin,ingreso
se me fueron mil cuatrocientos sesenta y cinco con treinta y uno euros con la factura de la luz en marzo,gasto
me costó mil setecientos treinta y ocho con noventa y siete euros el gimnasio,gasto
de una beca recibí cuatrocientos cuarenta y ocho euros,ingreso
he pagado cuatro mil novecientos ochenta y uno con cincuenta y cinco euros en el alquiler,gasto
de intereses hoy me cayó cuarenta y ocho euros,ingreso
el mes pasado recibí dos mil ochocientos cincuenta y tres euros de una encuesta remunerada,ingreso
seguro del coche he abonado mil doscientos euros del,gasto
he desembolsado doscientos veintisiete con setenta y nueve euros en una reparación,gasto
me dejé al final quinientos ochenta y uno euros por netflix,gasto
desempleo esta semana he percibido cuatrocientos cuarenta y dos con catorce euros de la prestación por,ingreso
he desembolsado tres mil,gasto
pequeño por fin me cayó más o menos ciento cincuenta y nueve con sesenta y cinco euros de un premio,ingreso
me entraron dos mil seiscientos ochenta y dos euros de la devolución del irpf hoy,ingreso
me cobraron cuatrocientos noventa y dos euros este mes en la compra del supermercado,gasto
se me ingresaron aproximadamente,ingreso
por una beca he percibido trescientos sesenta y dos con cincuenta y siete euros,ingreso
viaje de vacaciones pagué mil ochocientos euros en el,gasto
me han abonado cuatro mil seiscientos veinticuatro con ochenta euros de una venta,ingreso
he ingresado trescientos cincuenta,ingreso
una consulta médica pagué mil novecientos ochenta euros ayer en,gasto
me gasté quinientos veintidós,gasto
al alquiler recientemente me ingresaron mil ochocientos treinta y dos euros de la ayuda,ingreso
ayuda escolar recientemente se me ingresaron setenta euros de,ingreso
bonus trimestral recientemente ingresé tres mil trescientos treinta y siete euros de,ingreso
por una beca he percibido cuatro mil ochocientos cuarenta y nueve con cuarenta y seis euros,ingreso
me gasté ciento cincuenta,gasto
me entraron dos mil dos euros de pensión de viudedad,ingreso
me pagaron dos mil ochocientos siete euros por una ayuda,ingreso
me entraron nueve euros,ingreso
veintisiete euros electricidad me costó trescientos cincuenta y cuatro con,gasto
gasté dos mil quinientos,gasto
vender entradas hoy me hicieron un ingreso de doscientos cuarenta y tres euros por,ingreso
pagué cuatro mil trescientos,gasto
programación por fin percibí unos quinientos dos euros por un encargo de,ingreso
he ingresado ciento sesenta y cinco con siete euros por un encargo de programación esta semana,ingreso
bono de fidelidad me han pagado aproximadamente mil novecientos cuarenta y tres con noventa y siete euros de un,ingreso
en el coche se me fueron dos mil ciento veintitrés euros,gasto
tuve que pagar seiscientos ochenta y seis euros de un vuelo el lunes,gasto
me costó sesenta y,gasto
me han abonado tres,ingreso
por una beca ingresé tres mil ochocientos cincuenta y siete euros,ingreso
mes en ropa solté dos mil trescientos veinticinco euros este,gasto
recibí treinta y dos,ingreso
un regalo hoy me dejé cuatrocientos cincuenta y seis con sesenta y uno euros con,gasto
he desembolsado dos mil setecientos cuarenta euros en una suscripción,gasto
he desembolsado seiscientos veinticuatro,gasto
me entraron tres mil setecientos cincuenta euros de una herencia,ingreso
pagué trece euros con aire acondicionado el lunes,gasto
cobré al final quinientos,ingreso
me ingresaron setecientos veinte euros de la beca de estudios,ingreso
por un vuelo pagué dos mil quinientos diecisiete euros,gasto
el reportaje fotográfico me han pagado mil cien euros por,ingreso
me cobraron mil seiscientos con veintiocho euros en diésel,gasto
me hicieron un ingreso,ingreso
me gasté tres mil,gasto
en el coche me cobraron seiscientos cincuenta con ochenta euros,gasto
se me ingresaron novecientos veinticinco euros por una asesoría recientemente,ingreso
he percibido mil ciento,ingreso
planta para casa gasté veintidós euros en una,gasto
pagué ciento veinte euros,gasto
una matrícula universitaria pagué ciento cincuenta y cinco euros ayer en,gasto
recibí cuatro mil doscientos once con treinta y dos euros de nómina,ingreso
me costó tres mil,gasto
gasté setenta y cinco euros en la tienda de deporte,gasto
por una venta he percibido noventa con nueve euros,ingreso
me han pagado los,ingreso
recibí cuatro mil novecientos veinticuatro con setenta y uno euros de una venta,ingreso
ingresé noventa y cinco,ingreso
he gastado novecientos ochenta,gasto
cobré cuatro mil ochocientos,ingreso
me costó tres mil ochocientos noventa y tres euros para pagar el alquiler,gasto
he desembolsado trescientos ochenta y dos euros de el seguro del coche el lunes,gasto
me entraron alrededor de dos mil ochocientos sesenta y seis euros de una devolución de una compra,ingreso
euros de nómina me han abonado mil setecientos ochenta y tres con cuatro,ingreso
reclamación al banco recibí ciento treinta euros de reembolso por,ingreso
he desembolsado tres mil,gasto
en el bar pagué tres euros de propina,gasto
en unas fotos cobré veinticinco euros por hacer de modelo,ingreso
me entraron treinta y,ingreso
he percibido ciento treinta,ingreso
invertí setecientos sesenta y siete euros de la factura del agua en marzo,gasto
en el fisioterapeuta me costó seiscientos veinticuatro euros esta semana,gasto
de una transferencia me han abonado cuatro mil novecientos siete con veinticuatro euros,ingreso
euros el dentista me costó tres mil trescientos sesenta y dos con ochenta,gasto
obtuve trescientos cuarenta y,ingreso
ayer en neumáticos he tenido que abonar doscientos treinta y nueve euros,gasto
he percibido cuatrocientos veintinueve,ingreso
he ingresado novecientos treinta,ingreso
obtuve dos mil ciento seis euros por tutorías online recientemente,ingreso
se me fueron dieciséis,gasto
me costaron doscientos ochenta euros las gafas nuevas,gasto
