oracion,etiqueta
me han soltado doscientos sesenta y uno con cincuenta y cuatro euros de honorarios como autónomo hoy,ingreso
ventas este mes me abonó sesenta y nueve euros de comisión por,ingreso
mil cuatrocientos ochenta y tres con veinte euros en el alquiler he desembolsado,gasto
pagué setecientos cincuenta,gasto
venta ingresé dos mil ochocientos cincuenta y siete con noventa y siete euros por una,ingreso
supermercado he pagado mil seiscientos veintinueve euros en el,gasto
se me fueron doscientos,gasto
gasté ciento setenta,gasto
por una herencia he percibido mil doscientos sesenta con cuarenta y ocho euros,ingreso
novecientos ochenta y tres euros para pagar el cerrajero he gastado,gasto
beca recibí cuatrocientos cuarenta y ocho euros de una,ingreso
ingresé cuatro mil,ingreso
sesenta por mil cobré cuatrocientos bonus tres y euros dos,ingreso
beca he percibido trescientos sesenta y dos con cincuenta y siete euros por una,ingreso
el pan me ha costado dos euros,gasto
me han abonado cuatrocientos,ingreso
se fueron cincuenta,gasto
extra por fin me han transferido cuatrocientos noventa y ocho con cincuenta y siete euros por horas,ingreso
tarjeta me han abonado noventa euros de cashback de la,ingreso
durante el finde me cobraro cuatrocientos euros con la farmacia,gasto
doscientos euros a mi madre para la compra le di,gasto
me han soltado seiscientos cincuenta euros por el trabajo de diseño,ingreso
me han pasado sesenta y cinco euros de spotify familiar,gasto
he cobrado cuatro mil,ingreso
me ingresaron tres mil,ingreso
sesenta y seis con cuarenta y siete euros de una reparación aboné novecientos,gasto
y el mil cuatro treinta gimnasio euros desembolsado he siete ochocientos,gasto
me han soltado doscientos,ingreso
me han cobrado doscientos,gasto
desembolsé casi dos mil cuatrocientos euros por el electricista,gasto
setenta este por he cinco ganada tres y una euros mil mes ingresado,ingreso
dos mil doscientos catorce con treinta y uno euros de un proyecto me ingresaron,ingreso
cobré dos mil setecientos,ingreso
por cinco me el y cobró cincuenta avería euros la,gasto
he soltado en total,gasto
transferencia me han cargado ocho euros de comisión por,gasto
cincuenta y ocho con nueve euros para pagar libros me cobraron,gasto
solté mil quinientos,gasto
me cayeron mil cuatrocientos,ingreso
percibí tres mil novecientos cinco euros de una venta en wallapop,ingreso
por una venta cobré dos mil quinientos noventa y siete con sesenta euros,ingreso
de disney plus,gasto
euros en zara gasté sesenta,gasto
un treinta proyecto cobré tres euros por y con mil ochenta dos,ingreso
recibí dos mil,ingreso
euros me dos ayer pagar reforma setenta tocó mil con en una,gasto
me cobraron cuatro mil,gasto
ventas este mes he ingresado trescientos cincuenta y nueve con setenta y tres euros de comisión por,ingreso
he desembolsado mil novecientos veintiséis euros en una reparación,gasto
he percibido tres mil once con ochenta y tres euros por nómina,ingreso
nueve me euros cobraron y noventa y seis ochocientos dentista noventa en el,gasto
intereses en marzo me abonaron cuatro mil ochocientos ochenta y cuatro euros de,ingreso
euros vender cobré por vinted sesenta en,ingreso
me abonaron cuatro,ingreso
gasté mil ciento,gasto
en un vuelo he desembolsado tres mil setecientos ochenta y cuatro con sesenta y cinco euros,gasto
un trabajo freelance,ingreso
diez pagado mil en el veintidós alquiler he euros cuatro,gasto
euros mil nueve una cuatro trescientos con en veintisiete me y reparación gasté,gasto
uno cena fueron mil en y tres cincuenta y treinta me euros se con una,gasto
un móvil nuevo he tenido que abonar cuatro mil noventa y siete euros este mes en,gasto
mil seiscientos sesenta y cuatro euros de un vuelo aboné dos,gasto
gimnasio me gasté setecientos treinta y cuatro con setenta y dos euros en el,gasto
de una cena,gasto
dos mil ochocientos cuarenta y dos euros por un bonus he percibido,ingreso
doscientos euros y mudanza setenta una menos en con siete o más seis cobraron noventa me,gasto
me costó doscientos,gasto
el mes euros he pasado cinco viudedad pensión doscientos ingresado mil de,ingreso
me abonaron aproximadamente,ingreso
por una transferencia cobré tres mil ochocientos dos euros,ingreso
compra me gasté tres mil quinientos cuarenta y nueve con cinco euros en la,gasto
he percibido trescientos veintitrés,ingreso
beca he percibido setecientos setenta y siete con sesenta y nueve euros por una,ingreso
me han transferido,ingreso
sofá ingresé quinientos euros de la venta del,ingreso
se me ingresaro alrededor,ingreso
me ingresaron tres,ingreso
y cinco euros por el veterinario en abril aboné noventa,gasto
de una apuesta,ingreso
me gasté cuatro,gasto
salario se me ingresaron alrededor de doscientos cincuenta y cuatro euros de,ingreso
dos mil dos euros de pensión de viudedad me entraron,ingreso
apuesta ganada ayer,ingreso
semana en impuestos,gasto
euros en gasolina,gasto
cobré tres mil,ingreso
me pagaro dos mil,ingreso
me cobraron novecientos,gasto
me pagaron dos mil,ingreso
trescientos cincuenta y cinco con sesenta y tres euros en un vuelo he desembolsado,gasto
percibí mil trescientos cuarenta,ingreso
mil quinientos veinte euros ayer en aire acondicionado gasté dos,gasto
de uno me intereses y euros pagaron,ingreso
fueron se una me en euros médica consulta,gasto
mil quinientos sesenta y cuatro euros por la suscripción al periódico este trimestre pagamos dos,gasto
me entraro aproximadamente doscientos ochenta y cuatro con treinta y seis euros por una asesoría,ingreso
me pagaron mil novecientos,ingreso
de una beca,ingreso
finde me costó seiscientos noventa y cinco euros de una escapada de fin de semana durante el,gasto
de mis euros y acciones recibí cinco de ochenta,ingreso
venta me ingresaron mil ochenta y tres con dos euros de una,ingreso
semana me entraron noventa y cinco euros de la devolución del seguro esta,ingreso
he pagado dos mil,gasto
mes me han transferido cuatro mil seiscientos sesenta y siete euros de pensión este,ingreso
y cuatro un pagar sesenta vuelo en esta euros cuatro ciento mil me tocó,gasto
gasolina he pagado tres mil ciento treinta con setenta y seis euros en,gasto
me han cobrado,gasto
he soltado tres mil ciento treinta con setenta y seis euros en gasolina,gasto
cuatrocientos devolución euros me del dieciséis de fin ingresaron la seguro,ingreso
se me fueron,gasto
cuarenta y cinco euros por vender el móvil viejo recientemente obtuve trescientos,ingreso
cuatro mil ochocientos ochenta y cuatro euros por vender el ordenador de mesa esta semana me pagaron,ingreso
me han abonado cuatro,ingreso
euros dos la he ganado switch he que por,ingreso
euros por mes de encargo este cuarenta pagaron cincuenta un y cuatrocientos me y seis mil con programación,ingreso
herencia me ingresaron cuatro mil doscientos setenta con noventa y nueve euros de una,ingreso
recibí mil cuatrocientos euros de pensión este mes,ingreso
diseño por fin,ingreso
obtuve aproximadamente mil,ingreso
por de final de diecinueve ingreso de un euros al hicieron regalo trescientos cumpleaños me,ingreso
he percibido cuatro,ingreso
y con uno y siete por proyecto ingresé treinta noventa euros mil dos trescientos,ingreso
me han pagado cuatrocientos cincuenta y uno con diez euros de una encuesta remunerada,ingreso
este pagaron con de euros y cuatro me seis por cuarenta cincuenta encargo un mes cuatrocientos programación mil,ingreso
por una reforma he soltado en total sesenta y nueve euros,gasto
me gasté dos mil seiscientos cincuenta y ocho con noventa y dos euros en gasolina,gasto
me han ingresado,ingreso
se me fueron,gasto
por una reparación,gasto
hogar tres euros del desembolsado con el mes mil doscientos seguro cuarenta este,gasto
he pagado novecientos cincuenta euros de alquiler este mes,gasto
he cobrado doscientos,ingreso
he percibido cuatro mil cuatrocientos ochenta y uno euros por un proyecto,ingreso
poco me cobraron quinientos noventa y nueve con dos euros por el mantenimiento de la cuenta hace,gasto
he soltado en total,gasto
ochenta y el proyecto euros por freelance cuatro ingresaron,ingreso
cincuenta y tres euros de impuestos anoche invertí ochocientos,gasto
se me fueron setenta,gasto
euros en diésel me cobraro mil seiscientos con veintiocho,gasto
he desembolsado seiscientos,gasto
me pagaron cuatro mil cuatrocientos cincuenta y seis con cincuenta y nueve euros por una ayuda,ingreso
de canguro recientemente recibí cuatrocientos noventa y tres con cuarenta y nueve euros por hacer,ingreso
ochocientos pagué trimestrales impuestos de,gasto
una euros transferencia cincuenta por ocho y mil cuatro pagaron,ingreso
en total ochenta y nueve euros de la venta de libros usados he recibido,ingreso
coche he cobrado cinco mil euros por vender el,ingreso
en un taxi solté ciento ochenta euros,gasto
mil ciento treinta y uno euros de un proyecto me ingresaron,ingreso
euros en gasolina he soltado tres mil ciento treinta con setenta y seis,gasto
han seguro recibo pasado del de ciento el veinte euros,gasto
bancaria anoche y ocho euros una cincuenta con y aboné doscientos mil de treinta uno,gasto
en compra seiscientos euros la desembolsado he,gasto
por un bonus he percibido dos mil ochocientos cuarenta y dos euros,ingreso
invertí concierto treinta esta semana novecientos en euros,gasto
me han soltado al final ochocientos ochenta y ocho con cuarenta y dos euros por el proyecto freelance por fin,ingreso
setenta y cinco con treinta y siete euros de la cuota del club esta mañana invertí trescientos,gasto
este por de dos euros mes programación encargo percibí treinta un,ingreso
recibí trescientos treinta,ingreso
cobré cuatro mil,ingreso
mes me entraron ochenta y nueve euros de ayuda escolar este,ingreso
me costó tres mil ochocientos ochenta y ocho con noventa y siete euros el coche,gasto
me diecisiete euros una con de abonado ciento han transferencia,ingreso
por una herencia he percibido setecientos cinco con tres euros,ingreso
me pagaron mil quinientos noventa y nueve con cincuenta y uno euros por una beca,ingreso
gasté cuarenta y cinco,gasto
me abonó sesenta,ingreso
euros por con cincuenta cuatro seis pagaron treinta tres mil una y ayuda y,ingreso
un bizum a ana de veinte euros para la cena le hice,gasto
y de una treinta setenta ocho trescientos devolución me con y ingresaron euros,ingreso
he desembolsado cuatro,gasto
en un concierto aboné seiscientos sesenta y uno euros este mes,gasto
me gasté tres mil quinientos ochenta y uno con sesenta y seis euros en netflix,gasto
he percibido veintiocho euros por hacer fotos en una boda recientemente,ingreso
alquiler cuatro setecientos cincuenta el setenta cuatro por y euros cuatro con mil pagué,gasto
cobré dos mil ciento cuarenta y uno con ochenta y cuatro euros por un bonus,ingreso
trescientos y treinta taxi fueron un uno en me hace se días nueve unos con,gasto
he ingresado mil doscientos,ingreso
dos mil noventa euros por un proyecto me pagaron,ingreso
luz he gastado cincuenta y siete con treinta y siete euros por la factura de la,gasto
recibí mil quinientos,ingreso
entraron casi ciento sesenta y cuatro euros de salario bruto por fin,ingreso
he recibido ciento,ingreso
euros de nómina he recibido setenta y siete,ingreso
novecientos una cuatro y me euros noventa mil por venta pagaron,ingreso
han tres siete y portátil en cincuenta doscientos cargado un me ayer mil,gasto
de para febrero veinte el en me tocó gato arena pagar,gasto
me de mi parte abonado las parcelas,ingreso
veintiuno gasté euros con y mil tres me setenta siete en reparación una,gasto
me gasté dos,gasto
ingresé mil cuatrocientos,ingreso
cuatro cayó una por deuda fin de pendiente alrededor mil por cinco me,ingreso
doscientos diecisiete con cincuenta y cuatro euros de un bonus recibí mil,ingreso
entraro quinientos cincuenta y seis euros por dar clases particulares anoche,ingreso
aboné treinta euros con una batería del coche este mes,gasto
el mes pasado,gasto
aboné quinientos cuarenta con setenta y ocho euros por la suscripción al periódico,gasto
y una ingresé por euros siete ochenta,ingreso
fueron noventa euros en el veterinario se me,gasto
gas me tocó pagar cuatrocientos veintiséis euros ayer en la factura del,gasto
tres mil dieciocho euros en ropa he desembolsado,gasto
me entraro cuatrocientos sesenta y cuatro con cincuenta y cuatro euros por horas extra,ingreso
me ingresaron mil ochocientos,ingreso
me han abonado cuatro,ingreso
recibí cuatrocientos noventa,ingreso
me han abonado dos,ingreso
mil ciento doce euros de una herencia recibí tres,ingreso
me gasté setecientos,gasto
un trabajo freelance,ingreso
semana cobré treinta con sesenta y seis euros de una bonificación esta,ingreso
por con y mil cuatro una veintidós cobré cinco euros devolución seiscientos,ingreso
japonés pagué noventa euros de cena en un,gasto
gasté cuarenta euros en,gasto
me gasté cuatro mil ochocientos cinco con trece euros en gasolina,gasto
me cobraron cuatro,gasto
cuatro cuarenta y trescientos nueve por mil pagué compra euros,gasto
me pagaron noventa y,ingreso
gasté ciento setenta,gasto
proyecto me han abonado dos mil cuatrocientos dieciocho con setenta y tres euros de un,ingreso
ingresé dos mil setecientos,ingreso
apuesta me pagaron ochocientos ochenta y dos con diez euros por una,ingreso
ingreso por cumpleaños final fin hicieron regalo euros de trescientos al de un de me,ingreso
ochenta para gastado tres el euros pagar cerrajero novecientos he,gasto
recibí cuatro mil doscientos once euros de salario hace poco,ingreso
coche me gasté cuatro mil quinientos treinta y tres con sesenta y uno euros en el,gasto
pendiente esta semana,ingreso
suscripción al periódico aboné quinientos cuarenta con setenta y ocho euros por la,gasto
flores en febrero he desembolsado tres mil cuatrocientos cincuenta y cinco euros con,gasto
acondicionado se me fueron trescientos cincuenta y siete euros en aire,gasto
me abonó novecientos,ingreso
he soltado cuatrocientos setenta y siete con sesenta y cuatro euros en gasolina,gasto
cobré alrededor de,ingreso
por una beca,ingreso
cayó sesenta cuatro ocho de wallapop euros recientemente en venta una me mil,ingreso
de una venta,ingreso
me ingresaron ochocientos,ingreso
treinta por con total veinticuatro un traducir documento en ingresé ochocientos,ingreso
me costó dos mil,gasto
coche este mes,gasto
he ingresado trescientos,ingreso
he pagado cuatrocientos setenta,gasto
cobré doscientos catorce con,ingreso
no pude usar,ingreso
compra he desembolsado dos mil seiscientos ochenta y cinco con veintisiete euros en la,gasto
ingresé tres mil ochocientos cincuenta y cuatro euros por una venta,ingreso
me han pagado ciento cincuenta euros por el curso online que vendí,ingreso
irpf me pagaron novecientos sesenta y cuatro euros de la devolución del,ingreso
cincuenta cuatrocientos cuatro mil ocho cobré y apuesta por con una treinta,ingreso
he ingresado cincuenta,ingreso
me han mandado ciento ochenta euros por el bizum de la cena,ingreso
me han soltado doscientos veintinueve con sesenta y seis euros de nómina esta semana,ingreso
en el alquiler,gasto
me ingresaro mil quinientos,ingreso
de indemnización laboral me cayó unos trescientos trece con veintiséis euros,ingreso
cincuenta y factura con agua cobraron la euros me pagar novecientos del para veinte nueve,gasto
me ingresaro mil cincuenta y cinco con veintiséis euros de una venta,ingreso
euros electricista doscientos el han uno mes este en y cuarenta cargado,gasto
he desembolsado cuatro,gasto
ayer en veintiuno costó cine me,gasto
en la cena,gasto
me cayeron mil quince,ingreso
de estudios hoy,ingreso
fueron comisión bancaria en me euros siete mes este setecientos se y una,gasto
me ingresaron tres mil ochocientos sesenta y nueve con cincuenta y ocho euros de una beca,ingreso
me han abonado cuatro,ingreso
por una apuesta me cayeron cuatro mil trescientos treinta y uno euros,ingreso
ochenta de aboné una euros doscientos mil cena y,gasto
siete euros netflix me costó dos mil cincuenta y seis con noventa y,gasto
gasté veinticinco euros en,gasto
pedro me han pagado los doscientos euros que me debía,ingreso
transferencia una tres cobré ochocientos dos mil euros,ingreso
de una beca,ingreso
trimestral ingresé al final mil ciento noventa y siete euros de bonus,ingreso
venta recibí cuatro mil novecientos veinticuatro con setenta y uno euros de una,ingreso
devolución de hacienda,ingreso
cuatro mil setecientos sesenta y tres con cincuenta y nueve euros de una venta me ingresaron,ingreso
suscripción se me fueron cuatro mil quinientos ochenta y seis euros en una,gasto
en unas fotos,ingreso
ayuda municipal recientemente he cobrado mil doscientos sesenta y ocho euros de una,ingreso
trimestre me hicieron un ingreso de dos mil seiscientos noventa y uno euros de la prestación por desempleo este,ingreso
me costó dos,gasto
se me ingresaron setecientos,ingreso
trabajo de diseño,ingreso
me han pagado,ingreso
venta ingresé mil doscientos cuarenta y cuatro con sesenta y tres euros por una,ingreso
euros en electricidad me gasté cuatro mil ciento cincuenta y seis con noventa y uno,gasto
pagamos ciento cuarenta,gasto
en la compra,gasto
cobré ochenta y,ingreso
veintidós euros por dar clases particulares en febrero me pagaron,ingreso
piso me entraron doscientos euros de alquiler del,ingreso
he pagado seiscientos cincuenta y cinco con veinticuatro euros ayer en comida para el perro,gasto
euros escolar ayuda se me de setenta ingresaron,ingreso
medicamentos euros dos de alrededor han y cargado sesenta en,gasto
euros en ropa,gasto
mes mil pensión euros este recibí de,ingreso
en el mercadillo gasté veinticinco euros,gasto
he pagado cuatro mil ciento nueve con setenta y cinco euros en una reparación,gasto
me cayó cuatro mil sesenta y ocho euros de una venta en wallapop recientemente,ingreso
recibí cuatro mil,ingreso
me pagaron cuatro mil treinta y seis con cincuenta y tres euros por una ayuda,ingreso
euros en electricidad he pagado cuatrocientos sesenta y cuatro,gasto
suscripción me gasté novecientos cincuenta con setenta y cuatro euros en una,gasto
me pagaro seiscientos cincuenta y cinco euros por una beca,ingreso
transferido mil ciento setenta y ocho euros de la venta de libros usados me han,ingreso
cuatrocientos cincuenta euros de cuota de gimnasio anual he abonado,gasto
euros en ropa he pagado dos mil cuatrocientos sesenta y seis,gasto
he ingresado tres mil setenta y cinco euros por una apuesta ganada este mes,ingreso
me llegó un,ingreso
me entraro dieciocho con,ingreso
solté sesenta y,gasto
dos mil sesenta y cinco con cincuenta y dos euros el coche me costó,gasto
me euros y setenta cuatro mil tres proyecto por un,ingreso
un ingresé ciento con euros proyecto treinta y dieciocho por,ingreso
seis el mil con pagué cincuenta nueve y por supermercado,gasto
por un bonus,ingreso
poco se me fueron novecientos veintiuno euros con zapatos hace,gasto
me cobró cincuenta,gasto
he pagado dos,gasto
por una beca cobré mil cincuenta y nueve con sesenta y cuatro euros,ingreso
por una devolución,ingreso
me han ingresado doscientos treinta euros de la ayuda al alquiler,ingreso
transferencia me pagaron mil seiscientos setenta y uno con cincuenta y tres euros por una,ingreso
escolar este mes me entraron ochenta y nueve euros de ayuda,ingreso
invertí en ochenta marzo euros nueve cerrajero y el,gasto
y herencia una mil catorce euros siete cuarenta dos me novecientos ingresaron con,ingreso
me cayó mil,ingreso
por una devolución,ingreso
pendiente por fin,ingreso
me han pagado veinticuatro,ingreso
recibí cuatro mil ochocientos treinta y nueve con sesenta y uno euros de una apuesta,ingreso
me pagaro cuatro mil,ingreso
bruto por fin me pagaro aproximadamente cuatrocientos setenta y seis euros de salario,ingreso
me abonaron tres mil novecientos cuarenta y cuatro euros de pensión de viudedad hoy,ingreso
tres mil doscientos cuarenta y siete con treinta y siete euros por una ayuda he percibido,ingreso
de libros usados,ingreso
cincuenta doscientos se me cuatro euros de y ingresaron de alrededor,ingreso
de una venta,ingreso
recibí cuatro mil quinientos,ingreso
me han cargado seis,gasto
me han transferido tres mil setecientos treinta y cinco euros de un premio de concurso recientemente,ingreso
se me fueron,gasto
me cobraro dos mil,gasto
y el cruasán me costó cinco euros el café,gasto
alquiler en febrero entraron dos mil ciento cincuenta con treinta y cinco euros de la ayuda al,ingreso
semana ochenta dejé y cuatro el euros me esta en,gasto
transferencia familiar ayer,ingreso
veterinario este mes,gasto
por un bonus cobré dos mil ciento cuarenta y uno con ochenta y cuatro euros,ingreso
ayuda treinta tres una siete cuarenta y siete por con percibido y he doscientos mil,ingreso
pagué tres mil doscientos,gasto
euros en gasolina me gasté dos mil seiscientos cincuenta y ocho con noventa y dos,gasto
he gastado novecientos,gasto
hoy me han pagado doscientos cincuenta y seis euros de un bono de fidelidad,ingreso
de ciento ochenta salió por la euros me cena,gasto
de libros usados me han transferido mil ciento setenta y ocho euros de la venta,ingreso
ingresé ocho noventa un por con trabajo freelance y tres trescientos euros cincuenta,ingreso
me cobraron seiscientos,gasto
me han soltado alrededor,ingreso
euros desembolsado ochocientos tarde esta videojuegos mil doce he,gasto
me llegó un,ingreso
beca cobré ochocientos diecinueve euros por una,ingreso
me han abonado,ingreso
por un proyecto he percibido mil trescientos treinta y nueve con noventa y ocho euros,ingreso
periódico hace poco,gasto
euros en gasolina me cobraron cuatro mil ciento ochenta con diez,gasto
me pagaro dos mil setecientos sesenta y cuatro euros por un proyecto,ingreso
me ingresaron cuatro,ingreso
por la compra pagué cuatro mil trescientos cuarenta y nueve euros,gasto
cobré mil novecientos,ingreso
doscientos veintitrés semana salario con cinco cobrado de y euros setenta he,ingreso
aboné trescientos quince con cincuenta y tres euros de una suscripción,gasto
viernes pagué mil ciento trece con ocho euros con la nevera el,gasto
desembolsé dos mil trescientos,gasto
acabé pagando noventa,gasto
me pagaron dos,ingreso
percibí dos mil,ingreso
se me fueron mil quinientos sesenta y uno con dos euros este mes en una escapada de fin de semana,gasto
desembolsé dos mil,gasto
invertí mil treinta,gasto
fin se me ingresaron aproximadamente mil doscientos ochenta y seis con ochenta y tres euros de un premio pequeño por,ingreso
le mandé cincuenta euros a pedro por bizum,gasto
mañana gasté dieciocho euros en gasolina esta,gasto
mil setecientos cincuenta y ocho con cuarenta y cuatro euros por nómina cobré cuatro,ingreso
obtuve al final,ingreso
me cobraron tres mil quinientos noventa con noventa y cuatro euros en una cena,gasto
semana mil euros seiscientos esta de cobré,ingreso
he pagado mil,gasto
beca recibí cuatro mil seiscientos sesenta y cuatro con sesenta y cinco euros de una,ingreso
bruto este mes cobré tres mil doscientos euros de salario,ingreso
cobré dos mil quinientos noventa y siete con sesenta euros por una venta,ingreso
cincuenta y tres con cuarenta y ocho euros para pagar unas gafas nuevas desembolsé novecientos,gasto
noventa y cinco euros de la devolución del seguro esta semana me entraron,ingreso
me cobraron dos mil cuatrocientos ochenta y ocho con ochenta y uno euros en el supermercado,gasto
y quinientos euros vuelo mil cuarenta con tres nueve un pagado he,gasto
me gasté tres,gasto
cobré cuatro mil seiscientos veintidós con sesenta y cinco euros por una devolución,ingreso
pagué trescientos euros de,gasto
y cinco euros en la cena de ayer gasté cuarenta,gasto
me pagaro ochocientos ochenta y dos con diez euros por una apuesta,ingreso
con nueve once y setecientos de aboné el supermercado euros,gasto
seis con y esta semana trescientos prime amazon me cincuenta euros en dejé,gasto
he desembolsado cuatro,gasto
netflix se me fueron tres mil ochocientos sesenta y siete euros en,gasto
he pagado cuatrocientos,gasto
he desembolsado cuatro mil ciento noventa y nueve con sesenta y ocho euros en un vuelo,gasto
vecinos cobré treinta euros por cuidar al perro de mis,ingreso
me han metido en cuenta novecientos euros de la beca,ingreso
mil el y cinco euros dentista novecientos en treinta me tres,gasto
he percibido trescientos,ingreso
euros en gasolina he soltado tres mil ochenta y tres,gasto
he percibido tres,ingreso
treinta y euros ocho cuarenta y siete en desembolsado he el mil seiscientos con,gasto
